,date,NVDA open,AMD open,INTC open,ATVI open,EA open,Curde oil,Gold,Nasdaq index,ETH-USD open,BTC-USD open
300,7-Aug-20,113.13,86.67,48.53,84.43,146.43,41.97,2040.1,11072.53,395.23,11778.89
301,6-Aug-20,113.5,85.49,48.79,87.55,146.33,42.19,2045.5,10989.98,401.58,11749.87
302,5-Aug-20,112.44,84.96,49.72,84.65,145.82,41.56,2024.0,10967.87,389.71,11203.82
303,4-Aug-20,110.5,78.03,48.6,86.77,143.24,40.78,1971.0,10897.89,386.16,11246.2
304,3-Aug-20,107.32,78.19,48.27,84.41,141.55,40.39,1984.3,10848.64,371.13,11043.77
305,31-Jul-20,105.63,78.67,48.13,82.81,142.04,40.34,1948.6,10741.47,334.63,11110.21
306,30-Jul-20,103.75,75.37,47.83,80.6,135.7,41.32,1963.4,10450.12,318.14,11099.83
307,29-Jul-20,103.91,75.5,49.49,81.26,135.77,41.13,1953.2,10474.7,316.56,10912.95
308,28-Jul-20,103.74,68.1,49.48,81.37,135.42,41.65,1931.5,10509.2,321.83,11017.46
309,27-Jul-20,102.32,69.28,51.03,80.6,135.49,41.26,1901.7,10421.7,309.66,9905.22
310,24-Jul-20,98.75,64.18,52.15,79.32,133.75,41.06,1884.3,10294.41,274.72,9585.51
311,23-Jul-20,104.5,61.63,61.26,81.49,139.3,41.95,1868.7,10689.5,262.39,9527.14
312,22-Jul-20,103.68,57.07,61.31,80.97,140.95,41.54,1858.1,10687.58,245.04,9375.08
313,21-Jul-20,105.13,57.81,61.52,81.65,141.56,40.65,1822.0,10837.88,236.3,9162.51
314,20-Jul-20,102.74,55.23,60.08,79.07,139.43,40.64,1807.0,10526.02,238.49,9187.22
315,17-Jul-20,102.25,55.31,59.42,79.41,138.18,40.72,1798.5,10500.52,233.69,9131.81
316,16-Jul-20,100.15,54.68,58.54,78.88,137.84,40.97,1810.9,10443.87,238.45,9191.98
317,15-Jul-20,104.14,54.96,59.03,78.52,137.98,40.55,1806.1,10576.72,240.14,9241.9
318,14-Jul-20,100.75,53.3,57.87,76.81,134.2,39.6,1791.0,10310.25,239.98,9238.7
319,13-Jul-20,105.95,56.68,59.84,82.01,141.01,40.35,1805.0,10729.92,242.18,9277.21
320,10-Jul-20,105.89,57.54,57.95,80.72,139.42,39.58,1805.5,10545.91,242.87,9273.36
321,9-Jul-20,103.8,53.52,58.2,79.93,136.36,40.87,1816.1,10563.72,246.75,9427.99
322,8-Jul-20,99.94,53.01,58.45,79.06,135.91,40.48,1801.5,10409.35,239.16,9253.02
323,7-Jul-20,99.46,53.28,59.07,79.0,133.87,40.68,1789.3,10412.46,240.97,9349.16
324,6-Jul-20,97.42,52.9,58.72,78.46,135.47,40.38,1788.2,10360.38,227.69,9072.85
325,2-Jul-20,96.39,53.03,59.19,78.86,136.42,39.78,1773.4,10268.67,231.29,9231.14
326,1-Jul-20,95.21,52.63,59.91,75.45,132.04,39.84,1793.6,10063.67,226.13,9145.99
327,30-Jun-20,93.14,51.16,58.71,75.69,132.61,39.64,1777.3,9875.29,227.97,9185.58
328,29-Jun-20,91.7,50.15,57.47,75.82,130.98,37.96,1779.8,9771.72,225.36,9140.03
329,26-Jun-20,95.0,51.85,58.49,76.54,130.92,39.09,1766.0,9995.12,232.88,9261.0
330,25-Jun-20,93.56,52.56,58.98,76.61,131.48,38.05,1761.7,9899.36,235.7,9314.13
331,24-Jun-20,94.76,53.94,59.64,76.46,130.55,39.99,1778.3,10092.92,244.19,9632.15
332,23-Jun-20,95.51,55.05,60.19,76.73,131.32,40.68,1755.4,10130.83,242.54,9644.08
333,22-Jun-20,93.0,54.67,59.73,76.67,131.02,39.18,1755.2,9945.49,229.0,9300.92
334,19-Jun-20,92.43,54.41,60.65,76.18,131.13,38.85,1723.7,10042.13,231.95,9410.29
335,18-Jun-20,92.27,54.62,60.35,75.99,128.1,37.74,1730.5,9892.48,232.9,9481.57
336,17-Jun-20,91.14,54.79,60.74,73.69,126.73,37.93,1714.7,9943.31,234.49,9533.78
337,16-Jun-20,92.25,55.72,61.49,74.0,127.14,37.05,1726.3,9949.78,229.76,9454.27
338,15-Jun-20,88.15,52.58,59.33,71.48,122.9,36.03,1730.0,9426.9,234.06,9386.04
339,12-Jun-20,91.63,55.01,60.11,71.5,123.1,36.26,1724.9,9715.87,231.63,9320.69
340,11-Jun-20,91.5,55.94,63.07,72.87,124.66,39.09,1737.2,9791.24,247.55,9870.08
341,10-Jun-20,91.68,57.2,62.79,72.38,122.15,38.5,1716.1,10012.32,244.82,9794.12
342,9-Jun-20,88.0,52.95,62.99,71.28,120.1,38.22,1694.6,9867.19,246.18,9774.36
343,8-Jun-20,88.77,53.3,63.97,68.49,116.5,39.41,1679.1,9823.44,245.18,9760.06
344,5-Jun-20,87.94,52.99,63.36,67.99,115.44,37.33,1711.8,9703.54,244.35,9800.22
345,4-Jun-20,87.28,52.59,61.74,69.5,117.48,36.76,1694.5,9649.65,244.11,9655.85
346,3-Jun-20,88.22,53.6,62.45,72.39,122.15,36.86,1726.3,9651.86,237.4,9533.76
347,2-Jun-20,87.96,53.45,61.7,72.78,123.25,35.56,1743.0,9566.53,246.83,10162.97
348,1-Jun-20,88.33,53.31,62.49,72.19,123.28,35.21,1740.4,9471.42,230.86,9463.61
349,29-May-20,85.54,52.07,61.9,70.66,122.29,33.68,1718.8,9382.35,219.93,9528.36
350,28-May-20,84.12,52.25,63.0,70.0,117.99,32.1,1709.3,9392.99,208.89,9184.95
351,27-May-20,86.25,53.27,62.32,69.29,115.07,34.14,1685.6,9346.12,201.89,8837.38
352,26-May-20,91.57,56.01,63.68,73.37,120.44,33.3,1726.4,9501.21,205.26,8909.59
353,22-May-20,88.25,54.77,61.98,73.01,117.22,33.95,1726.6,9278.55,199.84,9080.33
354,21-May-20,90.51,56.68,63.1,74.36,119.88,33.53,1746.8,9375.19,210.13,9522.74
355,20-May-20,89.91,56.55,61.16,73.54,119.1,31.89,1751.6,9305.62,213.45,9725.33
356,19-May-20,87.9,54.39,60.13,72.9,116.77,32.83,1744.2,9227.46,214.6,9727.06
357,18-May-20,87.61,54.98,59.74,73.86,116.71,29.53,1755.7,9177.15,207.18,9675.7
358,15-May-20,78.9,53.32,57.4,72.62,116.22,27.64,1739.7,8839.99,202.96,9734.29
359,14-May-20,78.42,52.1,57.32,73.12,116.5,25.56,1724.3,8788.04,198.89,9271.33
360,13-May-20,79.18,54.04,58.45,72.51,117.07,25.3,1702.0,9006.05,189.37,8805.39
361,12-May-20,81.24,56.21,60.22,75.27,117.68,24.49,1699.3,9225.15,185.88,8610.39
362,11-May-20,78.07,52.9,59.74,73.06,116.93,24.49,1702.3,9054.91,188.63,8755.54
363,8-May-20,76.94,52.15,59.67,73.18,116.25,23.35,1726.2,9056.89,212.2,9936.16
364,7-May-20,75.85,52.93,59.93,72.31,116.27,24.09,1686.2,8973.78,203.91,9261.9
365,6-May-20,74.23,52.42,59.04,74.0,115.0,25.52,1704.0,8874.7,206.48,9007.44
366,5-May-20,73.87,53.43,58.79,67.67,118.32,21.24,1701.5,8809.66,208.01,8912.83
367,4-May-20,70.22,49.82,57.12,65.33,113.91,19.11,1702.6,8555.32,210.89,8895.75
368,1-May-20,71.09,51.07,58.83,63.14,113.13,19.04,1686.6,8681.29,207.9,8672.78
369,30-Apr-20,74.07,53.43,61.37,64.82,112.48,15.64,1719.3,8911.02,216.91,8797.67
370,29-Apr-20,74.19,54.53,59.44,64.15,111.87,13.35,1710.0,8802.7,198.47,7806.71
371,28-Apr-20,75.75,57.16,59.99,67.0,116.0,12.96,1716.6,8825.69,197.27,7796.97
372,27-Apr-20,73.75,57.44,59.72,67.4,117.97,16.84,1731.9,8717.98,197.48,7679.42
373,24-Apr-20,70.9,55.1,56.2,66.07,115.67,16.78,1744.0,8530.08,185.22,7434.18
374,23-Apr-20,71.96,56.65,59.67,66.98,114.7,14.2,1734.0,8528.84,182.62,7121.31
375,22-Apr-20,69.31,54.91,58.27,66.7,114.36,13.12,1696.0,8434.55,172.67,6879.44
376,21-Apr-20,70.58,56.9,58.11,66.24,114.68,-14.0,1697.0,8460.69,172.02,6879.78
377,20-Apr-20,71.81,55.98,59.28,66.62,114.84,17.73,1686.0,8553.38,181.48,7186.87
378,17-Apr-20,74.5,57.35,62.02,66.5,116.71,20.0,1715.7,8667.48,167.33999999999997,6913.66
379,16-Apr-20,71.77,55.96,59.61,66.45,114.75,20.15,1731.0,8479.11,153.2,6640.45
380,15-Apr-20,69.3,53.73,59.74,62.63,110.74,20.72,1739.4,8355.96,157.57,6845.56
381,14-Apr-20,68.75,52.24,60.04,63.98,111.8,22.36,1756.8,8353.21,156.36,6843.28
382,13-Apr-20,65.14,48.47,56.57,60.32,105.65,24.6,1722.0,8127.69,160.72,6965.62
383,9-Apr-20,68.0,49.65,59.36,61.28,106.0,26.28,1662.7,8169.01,172.76,7337.97
384,8-Apr-20,65.85,48.07,58.99,60.36,106.95,24.3,1669.7,7975.72,165.24,7179.28
385,7-Apr-20,69.32,48.96,59.94,62.53,107.13,26.34,1695.7,8129.99,169.15,7273.64
386,6-Apr-20,63.81,44.3,56.63,61.13,105.39,26.09,1629.1,7660.17,143.61,6788.05
387,3-Apr-20,63.49,44.3,53.85,61.26,102.81,24.81,1624.5,7477.27,142.11,6797.4
388,2-Apr-20,61.06,43.4,51.29,58.27,98.1,21.22,1590.9,7317.45,135.73,6606.78
389,1-Apr-20,63.91,44.18,52.5,58.0,98.38,20.1,1570.0,7459.5,133.61,6437.32
390,31-Mar-20,66.8,47.93,55.06,58.04,97.79,20.23,1618.7,7740.06,132.82,6430.61
391,30-Mar-20,63.84,47.24,52.99,58.34,96.77,20.93,1641.2,7583.46,125.58,5925.54
392,27-Mar-20,62.5,46.32,53.42,56.55,96.53,23.29,1623.9,7554.25,138.37,6719.39
393,26-Mar-20,63.49,45.78,51.74,53.06,90.47,24.25,1660.5,7462.21,136.19,6675.17
394,25-Mar-20,63.45,46.79,52.48,55.01,93.53,24.37,1676.5,7421.36,138.91,6738.72
395,24-Mar-20,57.25,44.04,53.14,58.34,100.0,23.87,1592.7,7196.15,135.19,6436.64
396,23-Mar-20,51.43,40.62,46.02,52.81,89.73,22.52,1505.3,6847.28,123.37,5831.37
397,20-Mar-20,54.75,41.51,46.51,55.25,92.24,24.73,1483.5,7248.07,136.65,6191.65
398,19-Mar-20,50.49,39.56,47.84,55.62,90.95,22.3,1481.5,6996.45,114.84,5245.42
399,18-Mar-20,50.03,39.54,46.71,53.0,91.5,26.94,1537.5,6902.32,113.86,5227.11
400,17-Mar-20,50.23,40.19,45.76,53.66,91.6,28.69,1469.3,7072.0,110.41,5002.58
401,16-Mar-20,53.1,39.08,47.51,53.11,89.19,33.75,1569.1,7392.73,125.0,5385.23
402,13-Mar-20,57.63,42.2,48.26,57.0,98.74,30.77,1574.9,7610.39,112.69,5017.83
403,12-Mar-20,56.37,42.0,47.99,55.1,94.79,33.07,1637.0,7398.58,194.74,7913.62
404,11-Mar-20,63.87,44.19,52.39,58.75,101.61,34.62,1656.6,8136.25,200.77,7910.09
405,10-Mar-20,64.14,45.41,52.76,59.45,101.4,30.37,1671.6,8219.76,202.86,7922.15
406,9-Mar-20,59.97,43.03,51.92,56.6,101.57,32.87,1696.1,7957.93,201.32,8111.15
407,6-Mar-20,66.52,49.44,55.18,59.65,106.45,46.09,1670.8,8469.02,229.17,9078.31
408,5-Mar-20,69.13,48.68,57.06,60.78,109.49,47.13,1637.3,8790.09,224.64,8760.29
409,4-Mar-20,67.55,48.25,57.01,60.0,108.29,46.94,1645.4,8834.1,224.57,8788.54
410,3-Mar-20,69.67,49.03,58.03,60.56,106.73,47.72,1594.5,8965.1,230.52,8865.39
411,2-Mar-20,69.22,47.42,55.79,58.3,101.92,43.7,1583.9,8667.14,218.71,8563.26
412,28-Feb-20,60.62,41.36,54.3,56.29,100.29,46.49,1640.3,8269.74,226.99,8788.73
413,27-Feb-20,63.72,45.38,57.93,57.8,104.35,48.63,1641.1,8744.03,225.69,8825.09
414,26-Feb-20,65.51,47.7,60.11,59.74,106.36,50.08,1644.0,9011.55,247.74,9338.29
415,25-Feb-20,69.07,51.14,61.99,61.8,107.72,51.37,1645.1,9301.2,265.28,9651.31
416,24-Feb-20,67.55,48.18,61.61,61.21,105.05,52.6,1657.0,9188.44,273.71,9921.58
417,21-Feb-20,76.05,56.71,65.18,63.82,108.49,53.74,1619.3,9708.01,257.89,9611.78
418,20-Feb-20,78.19,58.44,67.04,64.02,108.72,53.5,1606.5,9799.2,259.82,9629.33
419,19-Feb-20,75.37,57.99,66.39,64.0,110.1,52.12,1600.6,9782.81,282.04,10143.8
420,18-Feb-20,71.41,54.94,66.66,63.36,109.09,52.23,1579.8,9679.04,266.51,9691.23
421,14-Feb-20,71.82,55.19,67.52,62.69,108.9,51.51,1575.8,9728.9,268.02,10211.55
422,13-Feb-20,67.55,53.43,66.99,62.25,109.15,51.72,1570.2,9657.04,265.05,10323.96
423,12-Feb-20,67.5,54.53,67.6,61.5,109.67,49.96,1565.2,9688.6,235.9,10202.39
424,11-Feb-20,66.83,53.22,66.83,61.93,108.95,49.61,1570.9,9680.89,223.38,9855.89
425,10-Feb-20,63.13,49.47,65.56,61.42,109.02,50.12,1569.3,9493.63,228.55,10115.56
426,7-Feb-20,63.16,48.91,66.86,61.33,109.17,51.11,1564.9,9526.64,212.32,9726.0
427,6-Feb-20,63.03,48.8,67.3,59.19,108.8,51.17,1553.6,9540.98,204.13,9617.82
428,5-Feb-20,63.0,50.29,66.69,60.14,108.62,49.51,1553.2,9574.1,189.3,9183.42
429,4-Feb-20,61.51,49.21,65.77,58.86,106.44,49.94,1577.7,9398.39,189.86,9292.84
430,3-Feb-20,58.92,46.4,64.46,58.64,107.93,51.01,1592.9,9190.72,188.61,9344.68
431,31-Jan-20,60.99,48.4,65.8,60.2,110.75,52.92,1573.4,9324.33,184.74,9508.31
432,30-Jan-20,60.4,46.49,65.64,59.92,111.43,53.09,1576.8,9211.15,174.92,9316.02
433,29-Jan-20,61.85,47.84,67.63,60.49,112.51,53.97,1569.8,9318.26,176.35,9357.47
434,28-Jan-20,60.71,50.03,66.5,58.79,111.29,52.77,1576.4,9201.82,170.88,8912.52
435,27-Jan-20,59.56,48.45,66.72,58.19,110.24,53.7,1584.3,9092.46,168.01,8597.31
436,24-Jan-20,64.38,52.28,66.57,60.22,114.02,55.69,1556.3,9446.21,162.9,8405.57
437,23-Jan-20,62.93,51.34,62.86,60.32,112.92,56.11,1553.1,9377.72,168.3,8680.65
438,22-Jan-20,62.44,51.63,61.04,61.65,112.77,58.26,1549.8,9413.61,169.61,8744.21
